ID,AspectTerms,Opinions,Polarities,Categories,Review
1119,_,还可以,0,整体,还 可 以 ， 挺 服 帖 的 ， 味 道 也 好 闻 ， 还 会 回 购 的
1785,_,很喜欢,0,整体,以 为 就 一 个 替 换 装 ， 没 想 到 有 两 个 ， 马 上 试 用 了 ， 妆 容 超 级 服 帖 ， 很 喜 欢 很 喜 欢
612,_,是次品,1,其他,非 常 失 望 ， 收 到 货 居 然 是 次 品 ， 镜 子 碎 成 这 样 了 ， 不 知 这 么 多 好 评 是 哪 来 的 ， 差 差 差
2803,_,很不错,0,整体,物 流 很 快 ， 绝 对 正 品 ， 到 家 用 了 一 下 ， 很 不 错
291,_,服帖,0,使用体验,自 然 ， 服 帖
2811,_,很保湿,0,功效,面 膜 特 别 薄 很 服 帖 精 华 很 多 用 完 很 保 湿 很 不 错 。
2911,快递,太差劲了,0,物流,快 递 太 差 劲 了 来 了 都 是 破 纸 盒 子
203,_,很不错,0,整体,非 常 好 用 ！ ！ ！ 特 别 补 水 ， 我 干 皮 用 着 很 不 错
443,_,水润,0,使用体验,好 用 好 用 水 润
3115,_,好用,0,整体,好 用 ， 下 次 还 去 你 家 买
2178,_,很划算,0,价格,以 为 就 两 个 呢 ， 没 想 到 算 上 赠 品 三 个 ， 很 划 算 啊 还 没 用
2739,效果,很好,0,功效,东 西 是 好 东 西 ， 一 直 在 用 ， 效 果 很 好 ， 客 服 真 的 忙 ， 问 一 下 能 不 能 优 惠 一 点 ， 半 天 不 带 理 你 的 ， 全 程 机 器 人 聊 天
1257,_,好评,0,整体,好 评 ， 帮 别 人 叉 的
1837,_,不错,0,整体,不 错 多 次 购 买 了
571,_,还不错,0,整体,看 起 来 还 不 错 ， 等 用 了 再 来 评 论 吧
1919,赠品,很丰富,0,价格,礼 盒 很 精 美 ， 以 为 买 了 很 多 ， 其 实 收 到 也 就 一 点 点 ， 赠 品 很 丰 富
2329,_,挺好的,0,整体,用 起 来 遮 黄 气 暗 沉 ， 还 不 油 腻 ， 我 属 于 混 合 型 皮 肤 ， 用 这 个 挺 好 的
2458,_,很不错,0,整体,很 不 错 ， 物 流 很 快 ！ 很 喜 欢 ！ 赞 赞 赞 赞 赞 ！ 一 直 在 用 云 南 白 药 牙 膏 ！ 喜 欢 ！
2338,_,喜欢,0,整体,喜 欢 用 * * * 的 面 膜 ， 有 些 问 题 * * 客 服 也 该 解 决 了
2096,_,好用,0,整体,隔 离 霜 好 用 ， 用 完 了 比 较 有 气 色
2101,_,还不错,0,整体,看 评 论 说 还 不 错 ， * * * 的 应 该 不 会 差 吧 ， 还 没 开 始 用
473,价格,优惠,0,价格,补 水 效 果 特 别 好 ！ 好 评 ！ 比 实 体 店 的 价 格 优 惠 ， 物 流 也 快 ！ 一 直 信 赖 * * ！ 还 送 了 一 个 盒 子 ！
158,说明书,没有,1,包装,包 装 简 陋 ， 没 有 说 明 书 。 正 品 ？ ？
1456,_,很烂,1,整体,不 好 用 很 烂
545,优惠力度,_,1,价格,买 了 好 几 次 了 ， 补 水 效 果 感 觉 还 不 错 ， 就 是 优 惠 力 度 感 觉 没 有 以 前 大 了 ！
2923,送货,非常好,0,物流,以 前 用 过 又 来 回 购 了 送 货 到 门 非 常 好
2702,_,很适合,0,整体,第 三 次 购 买 了 ， 妈 妈 是 干 性 皮 肤 ， 很 适 合 ， 还 送 了 睡 眠 面 膜
2421,_,非常喜欢,0,整体,看 着 就 很 高 大 上 ， 还 送 了 两 瓶 卸 妆 水 ， 非 常 喜 欢
274,_,很好,0,整体,买 给 妈 妈 用 ， 妈 妈 一 直 用 这 个 ， 说 很 好
1487,_,方便,0,使用体验,好 用 ， 不 油 腻 ， 喜 欢 ， 新 款 的 瓶 子 ， 用 起 来 也 方 便
1562,延展性,很好,0,使用体验,宝 贝 收 到 了 ， 物 流 超 快 ， 买 了 两 三 天 就 到 了 ， 延 展 性 很 好 ， 买 的 紫 色 ， 调 节 肤 色 ， 很 好 用 ， 还 会 回 购 的
1592,_,一般般,2,整体,一 般 般
1017,_,挺好用的,0,整体,挺 好 用 的 ， 颜 色 比 较 均 匀 ， 用 完 还 会 回 购
2356,_,不错,0,整体,不 错 ， 女 朋 友 经 常 用 这 个
1543,_,很光滑,0,使用体验,用 了 好 长 时 间 了 来 评 价 ， 好 推 开 不 卡 粉 ， 用 过 后 皮 肤 很 光 滑
262,_,不好用,1,整体,不 好 用 有 点 都 不 显 白
1243,_,值得推荐,0,整体,一 直 的 老 客 户 ， 发 货 飞 快 ， 质 量 不 错 ， 值 得 推 荐
2632,_,很舒服,0,使用体验,对 我 来 说 泡 沫 过 于 多 了 ， 不 过 质 地 很 温 和 ， 洗 完 之 后 很 舒 服
3031,_,挺好用的,0,整体,第 一 次 购 买 ， 特 意 用 了 以 后 评 价 的 ， 味 道 不 错 ， 用 着 不 油 腻 ， 总 之 挺 好 用 的
2361,粉质,不是很好,1,使用体验,粉 质 不 是 很 好 ， 只 能 将 就 !
2337,_,不错,0,整体,宝 贝 收 到 了 ， 还 没 有 用 ， 感 觉 不 错 。 用 过 他 家 的 化 妆 品 ， 挺 水 润 的 。 物 流 杠 杠 的 ！ 喜 欢 ? ?
3105,_,特别水嫩,0,使用体验,很 舒 服 ， 特 别 水 嫩
500,_,希望是正品,2,真伪,宝 贝 已 收 到 ， 希 望 是 正 品 ， 送 了 两 个 小 样 的 卸 妆 水
907,送货速度,快,0,物流,东 西 很 好 ， * * 服 务 ， 送 货 速 度 快 。
2191,味道,很香,0,气味,整 体 描 述 ： 包 装 很 紧 密 清 洁 能 力 ： 清 洁 效 果 好 ， 味 道 很 香
778,_,还不错,0,整体,适 用 了 一 下 ， 还 不 错 。
2859,_,量比大,0,其他,非 常 棒 ， 量 比 大
519,活动,最合适,0,价格,大 爱 ， 还 是 有 活 动 的 时 候 买 最 合 适 ， 一 直 在 用 这 个 品 牌 ， * * * * ， 我 很 放 心
2180,_,真的好用,0,整体,以 前 没 用 过 ， 现 在 用 了 之 后 才 来 评 价 ， 这 款 * * * 的 真 的 好 用 ， 值 得 推 荐
2867,_,很不错,0,整体,用 了 ， 很 不 错 ， 活 动 的 时 候 买 的 很 划 算
2399,_,很不错,0,整体,活 动 买 的 很 合 适 ， 用 着 很 不 错 ， 店 家 服 务 也 很 好
2771,_,还不错,0,整体,紫 隔 ， 用 了 一 次 ， 还 不 错
2561,_,非常好,0,整体,好 很 好 非 常 好
2095,_,非常好,0,整体,非 常 好 ， 是 正 品 ， 和 我 在 专 柜 买 的 一 样 ， 很 自 然 显 肤 色
2127,_,很喜欢,0,整体,第 一 次 用 ， 听 说 很 好 用 ， 抹 在 脸 上 微 微 有 一 点 点 白 ， 成 膜 速 度 非 常 快 ， 而 且 不 油 腻 ， 很 清 爽 很 喜 欢 ， 应 该 会 回 购 的 ， 支 持 嘉 娜 宝
192,_,很保湿,0,功效,特 别 喜 欢 这 个 新 包 装 的 ， 很 方 便 啦 ， 一 直 用 * * * 的 产 品 ， 这 个 卸 妆 水 ， 用 完 不 紧 绷 ， 很 保 湿 的 ， 继 续 支 持
970,味道,很好,0,气味,宝 贝 收 到 了 ， 迫 不 及 待 打 开 包 装 ， 味 道 很 好 ， 晚 上 试 试 ， 卖 家 好 有 爱 ， 买 一 份 送 一 份 哦 ， 还 会 继 续 购 买 的 哦 ！
2378,物流,很给力,0,物流,第 一 次 购 买 使 用 。 效 果 不 知 。 赠 品 到 位 。 偿 试 性 购 买 。 物 流 很 给 力 哦 ！
2636,快递小哥服务,好,0,物流,快 递 小 哥 服 务 好 ， 速 度 也 快 ， 唯 一 不 好 就 是 商 家 ， 上 面 写 的 替 换 装 送 两 个 结 果 只 有 一 个 ， 差 评 ， 简 直 欺 骗 顾 客 。
3055,_,还是不错的,0,整体,* * * 的 化 妆 品 还 是 不 错 的 ， 值 得 购 买 ， 性 价 比 很 高 的 活 动 就 参 加 了 ！ ！ ！
2278,_,不紧绷,0,使用体验,味 道 不 错 ， 不 紧 绷
1648,泡沫,丰富,0,使用体验,为 了 * * * 买 的 ， 洗 面 奶 的 泡 沫 丰 富 ， 洗 的 干 净 不 干 燥 !
28,_,很好用,0,整体,很 好 用 ， 一 直 都 买 这 个 牌 子 的 ， 无 限 回 购 ， 物 美 价 廉 ， 持 续 囤 货 中 。
1008,商家服务,好,0,服务,非 常 喜 欢 ， 物 超 所 值 。 超 赞 ， 物 流 还 常 快 ， 商 家 服 务 好 。 ?
1427,包装,很好,0,包装,都 说 包 装 不 好 ， 我 觉 得 很 好 呀 ！ 面 膜 也 很 好 用 ， 比 * * * 的 好 ！
1985,_,补水多了,0,功效,不 错 不 错 ， 比 之 前 的 套 盒 补 水 多 了 。
2462,活动,_,0,价格,帮 同 事 买 的 ， 据 说 挺 好 碰 到 活 动 买 来 试 试
1026,_,好用,0,整体,一 直 用 * * * ， 好 用
840,_,很自然,0,功效,已 经 开 始 用 了 ， 效 果 很 棒 ， 很 自 然 ， 不 加 白 ， 值 得 推 荐
2037,_,还不错,0,整体,个 人 情 况 ： & 以 前 没 有 固 定 的 用 一 个 品 牌 整 体 描 述 ： 总 体 来 说 还 不 错 ！ 这 款 有 点 小 贵 。
1701,_,不错,0,整体,用 着 不 错 不 油 、 商 品 降 价 、 活 动 速 度 太 快
412,包装,挺好看的,0,包装,好 划 算 ， 还 没 用 。 看 着 还 不 错 。 & 买 一 送 一 ， 加 & . & 在 买 一 份 一 共 & 片 。 包 装 也 挺 好 看 的 ， 可 以 用 好 久 。
3123,_,挺好,0,整体,之 前 用 的 挺 好 ， 现 在 回 购 ， 有 需 要 的 可 以 放 心 购 买
578,_,很水润,0,使用体验,很 不 错 ， 用 起 来 感 觉 很 水 润
562,包装,太丑了,1,包装,包 装 也 太 丑 了 。 。 吧
91,_,喜欢,0,整体,很 多 次 购 买 了 ， 喜 欢 ！ 哈 哈 哈 哈 哈 哈 ? ?
1847,_,不错,0,整体,不 错 一 直 都 用 这 个
1667,物流,快,0,物流,物 流 快 ， 一 直 在 用 这 个 ， 值 得 推 荐
2027,味道,有点刺鼻,1,气味,买 了 好 几 次 了 ， 不 过 我 上 次 买 的 味 道 有 点 刺 鼻 ， 跟 原 来 的 不 太 一 样 ， 不 过 没 什 么 过 敏 啥 的 ， 就 算 了
1882,速度,_,0,整体,支 持 * * 买 的 。 惊 讶 的 是 速 度 ， 上 午 下 单 ， 下 午 送 到 。
2878,_,挺好的,0,整体,用 了 好 几 年 了 ， 挺 好 的 。
729,_,掉皮,1,使用体验,希 望 大 家 千 万 别 买 这 个 面 膜 ， 用 着 都 掉 皮 ， 怕 是 脸 都 能 让 这 个 面 膜 给 毁 了 ， 太 吓 人 了 ， ?
2411,_,好好用,0,整体,好 好 用 哦 ， 肤 色 提 亮 了 很 多 ， 透 气 。 用 完 还 买
753,味道,喜欢,0,气味,活 动 价 & 元 两 盒 入 手 ， 真 的 是 太 超 值 啦 ， 很 服 帖 ， 很 补 水 ， 味 道 也 喜 欢
2292,_,物美价廉,0,价格,真 的 是 物 美 价 廉 ， 还 送 了 两 个 替 换 装 ， 用 了 皮 肤 白 的 自 然 不 错
313,快递,好快,0,物流,还 没 用 不 知 道 怎 么 样 ， 但 是 快 递 好 快 ， 昨 天 下 午 下 单 今 天 上 午 就 到 了
2310,_,水水润润,0,使用体验,宝 贝 收 到 了 ， 一 次 买 了 & 套 。 使 用 后 冰 冰 凉 凉 ， 水 水 润 润 很 舒 服 ， 夏 季 必 备 。 一 次 愉 快 的 购 物 。
957,_,不推荐,1,整体,个 人 情 况 ： 中 性 批 发 整 体 描 述 ： 包 装 完 好 ， 送 了 一 块 面 膜 ， 用 着 还 行 清 洁 能 力 ： 洗 不 干 净 ， 不 推 荐 使 用
2177,_,还好,0,整体,还 好 吧 ， 就 是 比 较 温 和
1601,价格,实惠,0,价格,到 货 快 ， 好 用 ， 补 水 隔 离 效 果 好 ， 价 格 实 惠 ， 很 划 算 很 喜 欢
1665,_,可以,0,整体,就 是 这 样 的 感 觉 可 以 吧 的
1937,补水效果,杠杠的,0,功效,第 三 次 买 ， 补 水 效 果 杠 杠 的
1393,_,没有浮粉,0,使用体验,我 用 了 三 年 的 这 牌 子 的 粉 底 液 了 ， 一 直 在 * * * * 买 ， 值 得 信 赖 ， 和 装 柜 一 样 的 是 正 品 ， 没 有 浮 粉 ， 保 湿
2461,价格,便宜,0,价格,东 西 不 错 ， 是 正 品 ， 价 格 便 宜 ， 送 货 快
85,物流,超快的,0,物流,洗 面 奶 真 心 不 错 ， 洗 完 脸 以 后 滑 滑 的 非 常 舒 服 ， 物 流 也 是 超 快 的
2169,_,实惠,0,价格,东 西 不 错 ， 老 婆 喜 欢 ， 再 次 购 买 ， 套 装 实 惠 。
1981,_,五星好评,0,整体,物 流 小 哥 服 务 特 别 好 ， 商 家 也 不 错 给 个 五 星 好 评 吧 ！ 、 好 不 好 用 了 再 追 评 吧 ！
3086,_,很不错,0,整体,东 西 很 不 错 ， 很 熟 服 ， 水 水 的 ， 味 道 也 很 好
2705,_,很好用,0,整体,面 膜 还 是 很 好 用 的 ， 敏 感 肌 也 可 以 用 ， 补 水 效 果 非 常 好
751,活动,_,0,价格,看 了 评 价 买 来 试 试 ， 用 了 以 后 感 觉 保 湿 效 果 还 是 很 不 错 的 ， 搞 活 动 买 的 ， 挺 好 的 ！
342,_,还不错,0,整体,趁 活 动 买 了 两 份 ， 看 着 还 不 错 ， 晚 上 试 试 效 果
3107,_,还不错,0,整体,给 妈 妈 买 的 ， 应 该 还 不 错 的 吧
3104,_,就要过期了,1,新鲜度,太 不 靠 谱 了 吧 ， 刚 收 到 货 ， 就 降 价 了 ， 日 期 还 半 年 就 要 过 期 了 ， 说 退 货 吧 还 要 去 出 快 递 费 ? ?
1394,_,好评,0,整体,卸 妆 水 很 好 闻 ！ 很 好 用 ！ 用 完 不 紧 绷 ！ 好 评 ！
1288,卖家,不错,0,服务,不 错 . 比 在 超 市 和 店 里 买 划 算 . 卖 家 和 快 递 服 务 都 不 错 给 五 星 好 评
2832,_,有点黑,1,功效,上 妆 效 果 ： 还 可 以 ， 今 天 到 货 就 立 马 擦 起 来 了 ， 可 是 有 点 黑 。 下 次 买 & 色 号
461,_,非常喜欢,0,整体,很 好 不 错 非 常 喜 欢 下 次 再 买
659,_,不错不错,0,整体,本 来 只 收 到 一 个 快 递 ， 然 后 以 为 少 发 了 ， 问 了 客 服 ， 原 来 两 个 ， 不 错 不 错 ， 点 名 一 下 客 服 海 流
1736,_,挺好的,0,整体,挺 好 的 ， 好 吸 收 . 。 适 合 我 的 肤 质
688,味道,_,1,气味,洗 面 奶 是 舅 妈 推 荐 的 ， 用 过 几 次 ， 泡 沫 细 腻 ， 还 不 错 ， 就 是 味 道 不 如 那 个 好 闻 ， 不 过 挺 适 合 我 这 种 敏 感 肌 的 。
1287,_,好用,0,整体,每 次 用 完 都 回 头 买 好 用
1449,_,很喜欢,0,整体,* * 送 货 就 是 快 ！ 给 婆 婆 买 的 ， 婆 婆 很 喜 欢 ， 卸 妆 水 自 己 用 了 ， 出 去 玩 的 时 候 正 好 小 样 装 带 着 ， 很 方 便 ！
489,_,差评,1,整体,给 女 朋 友 买 的 ， 她 说 不 好 用 很 垃 圾 。 让 我 给 个 差 评 。 第 一 次 给 女 朋 友 买 化 妆 品 类 的 东 西 就 出 现 这 种 情 况 很 忧 伤 。
3156,_,挺好的,0,整体,正 品 挺 好 的
1015,快递,挺给力,0,物流,快 递 挺 给 力 ， 还 没 用 的 ， 以 后 再 用 一 下
2620,_,挺好的,0,整体,以 前 用 过 ， 挺 好 的 ， 还 送 了 一 瓶 霜
296,遮瑕效果,挺好,0,功效,还 可 以 ， 遮 瑕 效 果 挺 好 ， 就 是 不 保 湿 ， 用 了 皮 肤 好 干
2339,_,太裸妆了,1,使用体验,就 是 太 裸 妆 了 。 。 。 。 。 。 。
95,补水效果,很好,0,功效,面 膜 用 还 挺 好 的 自 己 补 水 效 果 很 好 ? 快 递 小 哥 态 度 也 很 好 ?
3220,_,不错,0,整体,跟 水 乳 一 起 买 的 ， 很 保 湿 啊 ， 物 美 价 廉 ， 不 错 的
1298,_,超好用,0,整体,一 直 用 的 这 款 隔 离 ， 很 轻 薄 透 亮 ， 送 的 面 膜 也 是 超 好 用 的 ， 人 鱼 面 膜 ！ * * * * 店 ， 一 直 很 信 赖 ！ ！ ！
1487,_,不油腻,0,使用体验,好 用 ， 不 油 腻 ， 喜 欢 ， 新 款 的 瓶 子 ， 用 起 来 也 方 便
923,_,很好,0,整体,很 好 物 美 价 廉 很 好 物 美 价 廉 很 好 物 美 价 廉 很 好
462,精华,很多,0,成分,面 膜 不 错 ， 水 分 精 华 很 多 ， 包 装 差 劲 ， 就 一 个 透 明 带 子 装 ， 没 有 包 装 盒 ，
12,_,水润,0,整体,气 垫 水 润 ， 还 送 了 一 个 替 换 装 ， 很 值
3195,_,不好用,1,整体,不 好 用 差 死 了
3211,_,特别滋润,0,使用体验,用 起 特 别 滋 润 ， 提 亮 肤 色 的 效 果 非 常 不 错 ， 不 油 腻 ！ 个 人 感 觉 不 错 ！
148,_,很干,1,使用体验,效 果 真 的 一 般 ， 连 续 用 了 三 天 ， 皮 肤 早 上 起 来 都 是 很 干 的 ，
418,补水,非常好,0,功效,第 六 次 购 买 了 面 膜 补 水 非 常 好 而 且 是 超 值 装 清 爽 补 水 棒 棒 哒
2312,物流,出奇的快,0,物流,已 经 第 二 次 购 买 ， 这 次 的 物 流 出 奇 的 快 ， 我 是 油 性 皮 肤 ， 感 觉 还 不 错 ， 自 己 用 完 有 明 显 的 改 善
688,_,挺适合,0,整体,洗 面 奶 是 舅 妈 推 荐 的 ， 用 过 几 次 ， 泡 沫 细 腻 ， 还 不 错 ， 就 是 味 道 不 如 那 个 好 闻 ， 不 过 挺 适 合 我 这 种 敏 感 肌 的 。
1668,赠品,_,0,价格,卸 妆 还 不 错 ? 赠 品 也 是 一 样 的 还 有 卸 妆 棉 ?
1199,_,很快,0,物流,很 快 收 到 不 错 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！
490,_,有点滑,2,使用体验,整 体 还 不 错 吧 就 是 没 有 我 之 前 买 的 洗 面 奶 好 用 洗 完 脸 之 后 有 点 滑 清 洁 效 果 一 般 般 吧
2752,包装,完好,0,包装,物 流 很 快 ， 包 装 完 好 ， 心 情 美 美 的 。 活 动 价 买 的 ， 多 送 了 一 个 替 换 装
712,_,好用,0,整体,一 直 用 的 * * * 的 ， 之 前 在 实 体 店 买 的 ， 这 次 买 的 也 好 用 ， 挺 实 惠 的 一 次 购 物 。
1422,_,还不错,0,整体,送 给 婆 婆 的 ， 她 说 还 不 错 ， 补 水 效 果 还 可 以 。
2205,_,不卡粉,0,使用体验,超 好 用 ， 不 卡 粉 ， 涂 完 它 ， 都 不 用 再 涂 气 垫 了
1,_,很好用,0,整体,很 好 ， 超 值 ， 很 好 用
2575,味道,挺好闻的,0,气味,味 道 挺 好 闻 的
2013,_,很好,0,整体,很 满 意 ， 用 着 效 果 很 好 ， 下 次 在 来 光 顾
2016,_,正品,0,真伪,个 人 情 况 ： 给 妈 妈 买 的 ， 妈 妈 说 好 用 整 体 描 述 ： 正 品 ， 包 装 也 很 好 清 洁 能 力 ： 很 好 用 呢
66,卸妆效果,非常好,0,功效,好 用 ， 卸 妆 效 果 非 常 好 ， 用 完 会 回 购
2272,_,不错,0,整体,很 实 惠 ， 效 果 也 不 错 ， 快 递 也 很 快
1826,速度,佩服,0,物流,佩 服 * * 的 速 度 ， 早 晨 定 晚 上 就 收 到 了 ， 还 没 用 ， 不 知 道 效 果 如 何 ， 用 了 在 评 论 。
1577,_,是正品,0,真伪,昨 天 下 午 收 到 的 ， 今 天 早 上 就 用 了 ， 挺 好 用 的 ， 是 正 品
394,_,还可以,0,整体,使 用 过 这 个 牌 子 的 化 妆 品 ， 还 可 以 ， * * 配 送 很 给 力 ， 五 分 好 评
3057,_,比较保湿,0,功效,特 别 好 用 ， 比 较 保 湿 ， 也 能 洗 干 净
2292,_,不错,0,整体,真 的 是 物 美 价 廉 ， 还 送 了 两 个 替 换 装 ， 用 了 皮 肤 白 的 自 然 不 错
820,_,不贵,0,价格,好 用 ， 一 直 在 用 ， 母 亲 节 买 给 婆 婆 的 礼 物 ， 她 很 喜 欢 。 好 用 不 贵 的 东 西 ， 快 来 买 吧 ！
608,_,不错,0,整体,不 错 ， 挺 温 和 的 一 款 洗 面 奶 ， 我 一 直 都 在 用 这 个 牌 子 的 ！
31,_,挺好,0,整体,物 流 好 快 昨 天 下 的 单 今 天 就 到 了 ， 第 一 次 用 感 觉 挺 好 的 ！
175,防晒效果,_,2,功效,防 晒 效 果 ： 还 没 有 使 用 ， 囤 货 试 试 看
354,_,不干,0,使用体验,第 二 次 购 买 了 ， 温 和 卸 妆 无 负 担 ， 卸 眼 妆 都 不 会 感 觉 刺 激 ， 也 不 干 ， 卸 的 干 净 ， 量 大 耐 用 。 挺 喜 欢 的
816,_,薄,0,使用体验,面 膜 不 错 ， 薄 ， 服 帖 ， 比 * * 还 好 。
2773,_,很不开森,1,整体,质 量 不 怎 么 样 ， 挤 了 好 多 也 没 什 么 泡 沫 ， 感 觉 洗 不 净 的 样 子 ， 很 不 开 森 ， 是 我 用 过 洗 面 奶 最 垃 圾 的 一 次 。
672,_,很喜欢,0,整体,母 亲 节 给 妈 妈 的 礼 物 ， 她 很 喜 欢 ， 她 是 一 直 用 这 个 牌 子 的 化 妆 品 ， 一 直 在 专 柜 买 的 ， 希 望 这 次 她 也 能 用 的 开 心
21,物流,很快,0,物流,还 不 错 物 流 很 快 用 了 再 追 评 使 用 感 受
1504,赠品,很好,0,价格,赠 品 很 好 ， 用 了 后 丝 润 光 滑
1775,上妆效果,不错,0,功效,上 妆 效 果 ： 不 错 ， 很 自 然 。
3229,补水,棒棒的,0,功效,这 面 膜 还 挺 好 用 的 ， 连 续 用 了 两 片 补 水 棒 棒 的 ， 最 主 要 的 是 蚕 丝 面 料 ， 轻 薄 透 气 。
3008,_,不错,0,整体,很 好 用 ， 而 且 很 方 便 ， 都 是 用 这 个 牌 子 的 化 妆 品 ， 不 错 呦 。
1672,_,很好用,0,整体,很 好 用 ， 挺 湿 润 的 ， 不 干 。 昨 天 下 的 单 ， 今 天 就 到 。 * * 物 流 就 是 给 力
2509,_,特别滋润,0,使用体验,我 觉 得 还 不 错 。 我 是 干 皮 ， 用 起 来 特 别 滋 润 ， 防 晒 效 果 还 待 观 察 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 哈 哈 哈 哈 哈 哈 哈 哈 哈 哈 哈
864,_,好,0,整体,太 棒 了 ， 效 果 好
560,_,一抹就开,0,使用体验,很 好 用 ， 一 直 都 在 用 ， 也 很 好 涂 抹 ， 一 抹 就 开 ！
1752,_,很满意,0,整体,一 直 用 的 * * * 这 个 品 牌 ， 非 常 好 用 ， 宝 贝 到 货 了 很 满 意 ！
839,_,好看,0,整体,给 妈 妈 买 的 ， 好 看 方 便 使 用 ， 干 净
1897,_,很满意,0,整体,不 错 的 商 品 ， 很 满 意 ， 下 次 还 会 买 哦
2113,味道,太大了,1,气味,"用 了 一 次 就 没 有 用 了 ， 味 道 太 大 了 ， 接 受 不 了 , 还 有 感 觉 不 服 帖 ， 感 觉 不 高"
1617,_,还不错,0,整体,第 一 次 用 感 觉 效 果 还 不 错 ? 挺 喜 欢 的
641,_,很好,0,整体,面 膜 很 好 ， 女 儿 看 着 说 我 也 要 用 ， 哈 哈
1572,包装,_,0,包装,买 给 我 妈 的 ， 包 装 得 到 了 她 的 青 睐 ， 滋 润 度 对 她 来 说 正 好 ， 不 过 有 一 点 点 增 白 效 果 她 不 喜 欢
1242,_,很满意,0,整体,货 收 到 了 ， 查 了 一 下 是 正 品 ， 一 直 用 这 个 牌 子 ， 相 信 * * 很 满 意
1208,遮瑕,特别好,0,功效,挺 好 用 的 遮 瑕 特 别 好
3105,_,很舒服,0,使用体验,很 舒 服 ， 特 别 水 嫩
2936,_,很好,0,整体,很 好 ， 很 水 润 。
3057,_,特别好用,0,整体,特 别 好 用 ， 比 较 保 湿 ， 也 能 洗 干 净
2805,_,好评,0,整体,不 愧 是 名 牌 ， 就 是 好 ， 保 湿 效 果 非 常 好 ， 用 了 后 脸 滋 润 很 多 ， 很 光 滑 ， 好 评
2197,卸妆效果,不好,1,功效,洗 面 奶 使 用 后 脸 上 总 是 滑 滑 的 ， 卸 妆 效 果 不 好
2343,服务态度,好,0,物流,看 着 还 不 错 ， 很 多 的 ， 感 觉 很 好 ， 送 货 快 服 务 态 度 好 。
1662,_,很方便,0,整体,挺 好 的 很 喜 欢 在 * * 购 物 价 格 便 宜 送 货 快 很 方 便
2877,_,很棒了,0,整体,价 格 很 好 的 时 候 入 手 的 ， 一 下 子 囤 了 & 份 ， 很 棒 了 ， 留 着 慢 慢 用 吧 ！
796,颜色,有点暗,0,功效,用 过 才 来 评 价 的 ， 自 然 色 擦 到 脸 上 感 觉 颜 色 有 点 暗 ， 别 的 还 好
1868,_,很好用,0,整体,敏 感 肌 可 用 ， 很 亲 和 ， 很 好 用 ！
2625,_,特别油油,1,使用体验,不 好 用 特 别 油 油 尤 其 是 干 了 以 后
135,_,实惠,0,价格,很 好 便 宜 实 惠 支 持 * * 商 城
726,_,还行,2,整体,还 行 吧 ， 只 能 说 还 行
