id,Reviews,ID,AspectTerms,Opinions,Polarities,Categories,Review
19,很好，不错，支持**，给力，大赞一个，喜欢,19.0,_,不错,正面,整体,很 好 ， 不 错 ， 支 持 * * ， 给 力 ， 大 赞 一 个 ， 喜 欢
19,很好，不错，支持**，给力，大赞一个，喜欢,19.0,_,给力,正面,整体,很 好 ， 不 错 ， 支 持 * * ， 给 力 ， 大 赞 一 个 ， 喜 欢
19,很好，不错，支持**，给力，大赞一个，喜欢,19.0,_,赞一个,正面,整体,很 好 ， 不 错 ， 支 持 * * ， 给 力 ， 大 赞 一 个 ， 喜 欢
19,很好，不错，支持**，给力，大赞一个，喜欢,19.0,_,喜欢,正面,整体,很 好 ， 不 错 ， 支 持 * * ， 给 力 ， 大 赞 一 个 ， 喜 欢
20,自然，不油腻,20.0,_,自然,正面,功效,自 然 ， 不 油 腻
20,自然，不油腻,20.0,_,不油腻,正面,使用体验,自 然 ， 不 油 腻
21,今天刚收到试了试挺好用的，好评,21.0,_,挺好用的,正面,整体,今 天 刚 收 到 试 了 试 挺 好 用 的 ， 好 评
21,今天刚收到试了试挺好用的，好评,21.0,_,好评,正面,整体,今 天 刚 收 到 试 了 试 挺 好 用 的 ， 好 评
22,这是我一个用的一款洗面奶，很适合油性和混油的皮肤。晚上用最合适了，搭配上洗脸仪，会会洗的比较干净的。,22.0,_,合,正面,整体,这 是 我 一 个 用 的 一 款 洗 面 奶 ， 很 适 合 油 性 和 混 油 的 皮 肤 。 晚 上 用 最 合 适 了 ， 搭 配 上 洗 脸 仪 ， 会 会 洗 的 比 较 干 净 的 。
22,这是我一个用的一款洗面奶，很适合油性和混油的皮肤。晚上用最合适了，搭配上洗脸仪，会会洗的比较干净的。,22.0,_,比较干净,正面,功效,这 是 我 一 个 用 的 一 款 洗 面 奶 ， 很 适 合 油 性 和 混 油 的 皮 肤 。 晚 上 用 最 合 适 了 ， 搭 配 上 洗 脸 仪 ， 会 会 洗 的 比 较 干 净 的 。
23,很不错呢，很贴肤细腻,23.0,_,很不错,正面,整体,很 不 错 呢 ， 很 贴 肤 细 腻
23,很不错呢，很贴肤细腻,23.0,_,很贴肤,正面,使用体验,很 不 错 呢 ， 很 贴 肤 细 腻
23,很不错呢，很贴肤细腻,23.0,_,细腻,正面,使用体验,很 不 错 呢 ， 很 贴 肤 细 腻
24,买过好几次了，用着不错,24.0,_,不错,正面,整体,买 过 好 几 次 了 ， 用 着 不 错
25,一直使用***，双11确实比平时优惠，希望质量能保证。,25.0,_,优惠,正面,价格,一 直 使 用 * * * ， 双 & 确 实 比 平 时 优 惠 ， 希 望 质 量 能 保 证 。
26,很好用就是太贵了，这天气可以再过一久使用，要不然有点干,26.0,_,很好用,正面,整体,很 好 用 就 是 太 贵 了 ， 这 天 气 可 以 再 过 一 久 使 用 ， 要 不 然 有 点 干
26,很好用就是太贵了，这天气可以再过一久使用，要不然有点干,26.0,_,太贵了,负面,价格,很 好 用 就 是 太 贵 了 ， 这 天 气 可 以 再 过 一 久 使 用 ， 要 不 然 有 点 干
26,很好用就是太贵了，这天气可以再过一久使用，要不然有点干,26.0,_,有点干,负面,使用体验,很 好 用 就 是 太 贵 了 ， 这 天 气 可 以 再 过 一 久 使 用 ， 要 不 然 有 点 干
27,真心不错，一直用这个牌子的面膜！,27.0,_,真心不错,正面,整体,真 心 不 错 ， 一 直 用 这 个 牌 子 的 面 膜 ！
28,成膜较慢，油腻，使用效果一般,28.0,成膜,较慢,正面,使用体验,成 膜 较 慢 ， 油 腻 ， 使 用 效 果 一 般
28,成膜较慢，油腻，使用效果一般,28.0,_,油腻,负面,使用体验,成 膜 较 慢 ， 油 腻 ， 使 用 效 果 一 般
28,成膜较慢，油腻，使用效果一般,28.0,_,一般,中性,整体,成 膜 较 慢 ， 油 腻 ， 使 用 效 果 一 般
29,宝贝很好用，很温和，小仙女们值得入手哦！,29.0,_,很好用,正面,整体,宝 贝 很 好 用 ， 很 温 和 ， 小 仙 女 们 值 得 入 手 哦 ！
29,宝贝很好用，很温和，小仙女们值得入手哦！,29.0,_,很温和,正面,使用体验,宝 贝 很 好 用 ， 很 温 和 ， 小 仙 女 们 值 得 入 手 哦 ！
30,还可以吧，刚涂上有些发白，过会儿就自然了,30.0,_,还可以吧,正面,整体,还 可 以 吧 ， 刚 涂 上 有 些 发 白 ， 过 会 儿 就 自 然 了
30,还可以吧，刚涂上有些发白，过会儿就自然了,30.0,_,有些发白,正面,功效,还 可 以 吧 ， 刚 涂 上 有 些 发 白 ， 过 会 儿 就 自 然 了
30,还可以吧，刚涂上有些发白，过会儿就自然了,30.0,_,自然,正面,功效,还 可 以 吧 ， 刚 涂 上 有 些 发 白 ， 过 会 儿 就 自 然 了
31,产品已收到，不错不错用了效果非常好,31.0,_,不错,正面,整体,产 品 已 收 到 ， 不 错 不 错 用 了 效 果 非 常 好
31,产品已收到，不错不错用了效果非常好,31.0,_,不错,正面,整体,产 品 已 收 到 ， 不 错 不 错 用 了 效 果 非 常 好
31,产品已收到，不错不错用了效果非常好,31.0,_,非常好,正面,整体,产 品 已 收 到 ， 不 错 不 错 用 了 效 果 非 常 好
32,第二次买，升级过了的卸妆液比之前的好，卸妆干净，给个好评。,32.0,卸妆,干净,正面,功效,第 二 次 买 ， 升 级 过 了 的 卸 妆 液 比 之 前 的 好 ， 卸 妆 干 净 ， 给 个 好 评 。
32,第二次买，升级过了的卸妆液比之前的好，卸妆干净，给个好评。,32.0,_,好评,正面,整体,第 二 次 买 ， 升 级 过 了 的 卸 妆 液 比 之 前 的 好 ， 卸 妆 干 净 ， 给 个 好 评 。
33,好用 摸上很自然,33.0,_,好用,正面,整体,好 用 摸 上 很 自 然
33,好用 摸上很自然,33.0,_,很自然,正面,功效,好 用 摸 上 很 自 然
34,**的就是快，东西很好，用着不错,34.0,_,快,正面,物流,* * 的 就 是 快 ， 东 西 很 好 ， 用 着 不 错
34,**的就是快，东西很好，用着不错,34.0,_,很好,正面,整体,* * 的 就 是 快 ， 东 西 很 好 ， 用 着 不 错
34,**的就是快，东西很好，用着不错,34.0,_,不错,正面,整体,* * 的 就 是 快 ， 东 西 很 好 ， 用 着 不 错
35,送了很多东西。只是那个洗面奶我觉得对于可能有些不合适，有刺激性，洗后有些痒，很不舒服。,35.0,_,不合适,负面,整体,送 了 很 多 东 西 。 只 是 那 个 洗 面 奶 我 觉 得 对 于 可 能 有 些 不 合 适 ， 有 刺 激 性 ， 洗 后 有 些 痒 ， 很 不 舒 服 。
35,送了很多东西。只是那个洗面奶我觉得对于可能有些不合适，有刺激性，洗后有些痒，很不舒服。,35.0,_,有刺激性,负面,使用体验,送 了 很 多 东 西 。 只 是 那 个 洗 面 奶 我 觉 得 对 于 可 能 有 些 不 合 适 ， 有 刺 激 性 ， 洗 后 有 些 痒 ， 很 不 舒 服 。
35,送了很多东西。只是那个洗面奶我觉得对于可能有些不合适，有刺激性，洗后有些痒，很不舒服。,35.0,_,有些痒,负面,使用体验,送 了 很 多 东 西 。 只 是 那 个 洗 面 奶 我 觉 得 对 于 可 能 有 些 不 合 适 ， 有 刺 激 性 ， 洗 后 有 些 痒 ， 很 不 舒 服 。
35,送了很多东西。只是那个洗面奶我觉得对于可能有些不合适，有刺激性，洗后有些痒，很不舒服。,35.0,_,很不舒服,负面,使用体验,送 了 很 多 东 西 。 只 是 那 个 洗 面 奶 我 觉 得 对 于 可 能 有 些 不 合 适 ， 有 刺 激 性 ， 洗 后 有 些 痒 ， 很 不 舒 服 。
36,大品牌值得信赖，**快递很快的。,36.0,快递,很快,正面,物流,大 品 牌 值 得 信 赖 ， * * 快 递 很 快 的 。
37,第一次购买，很期待效果，速度很快，很划算。,37.0,速度,很快,正面,物流,第 一 次 购 买 ， 很 期 待 效 果 ， 速 度 很 快 ， 很 划 算 。
37,第一次购买，很期待效果，速度很快，很划算。,37.0,_,很划算,正面,价格,第 一 次 购 买 ， 很 期 待 效 果 ， 速 度 很 快 ， 很 划 算 。
38,面膜敷了感觉很水润，包装也不错，推荐给闺蜜朋友了,38.0,_,很水润,正面,使用体验,面 膜 敷 了 感 觉 很 水 润 ， 包 装 也 不 错 ， 推 荐 给 闺 蜜 朋 友 了
38,面膜敷了感觉很水润，包装也不错，推荐给闺蜜朋友了,38.0,包装,不错,正面,包装,面 膜 敷 了 感 觉 很 水 润 ， 包 装 也 不 错 ， 推 荐 给 闺 蜜 朋 友 了
39,物流很快，快递小哥服务很好，已经试用过。是真的。,39.0,物流,很快,正面,物流,物 流 很 快 ， 快 递 小 哥 服 务 很 好 ， 已 经 试 用 过 。 是 真 的 。
39,物流很快，快递小哥服务很好，已经试用过。是真的。,39.0,快递小哥服务,很好,正面,物流,物 流 很 快 ， 快 递 小 哥 服 务 很 好 ， 已 经 试 用 过 。 是 真 的 。
39,物流很快，快递小哥服务很好，已经试用过。是真的。,39.0,_,是真的,正面,真伪,物 流 很 快 ， 快 递 小 哥 服 务 很 好 ， 已 经 试 用 过 。 是 真 的 。
40,双十一买的73 120ml特别划得来，希望以后能多多做活动。,40.0,_,特别划得,正面,价格,双 十 一 买 的 & & @ 特 别 划 得 来 ， 希 望 以 后 能 多 多 做 活 动 。
41,面膜水水的，很好用，感觉脸不紧绷了,41.0,_,水水的,正面,使用体验,面 膜 水 水 的 ， 很 好 用 ， 感 觉 脸 不 紧 绷 了
41,面膜水水的，很好用，感觉脸不紧绷了,41.0,_,很好用,正面,整体,面 膜 水 水 的 ， 很 好 用 ， 感 觉 脸 不 紧 绷 了
41,面膜水水的，很好用，感觉脸不紧绷了,41.0,_,不紧绷,正面,使用体验,面 膜 水 水 的 ， 很 好 用 ， 感 觉 脸 不 紧 绷 了
42,质量一般。,42.0,_,一般,中性,整体,质 量 一 般 。
43,挺好用的，就是酒精味重,43.0,_,挺好用的,正面,整体,挺 好 用 的 ， 就 是 酒 精 味 重
43,挺好用的，就是酒精味重,43.0,酒精味,重,正面,气味,挺 好 用 的 ， 就 是 酒 精 味 重
44,收到货很喜欢，还送了两片西膜,44.0,_,很喜欢,正面,整体,收 到 货 很 喜 欢 ， 还 送 了 两 片 西 膜
45,很好，一直在用。。购买了好几次了。,45.0,_,很好,正面,整体,很 好 ， 一 直 在 用 。 。 购 买 了 好 几 次 了 。
46,老婆一直用这个，还可以,46.0,_,还可以,正面,整体,老 婆 一 直 用 这 个 ， 还 可 以
47,非常不错哦，没有刺鼻的味道，很温和，,47.0,_,非常不错,正面,整体,非 常 不 错 哦 ， 没 有 刺 鼻 的 味 道 ， 很 温 和 ，
47,非常不错哦，没有刺鼻的味道，很温和，,47.0,味道,刺鼻的,正面,气味,非 常 不 错 哦 ， 没 有 刺 鼻 的 味 道 ， 很 温 和 ，
47,非常不错哦，没有刺鼻的味道，很温和，,47.0,_,很温和,正面,使用体验,非 常 不 错 哦 ， 没 有 刺 鼻 的 味 道 ， 很 温 和 ，
48,还行，不错,48.0,_,还行,正面,整体,还 行 ， 不 错
48,还行，不错,48.0,_,不错,正面,整体,还 行 ， 不 错
49,发货连个盒子都没有，直接塑料袋包好，太垃圾了，感觉不值这个价,49.0,货,_,负面,物流,发 货 连 个 盒 子 都 没 有 ， 直 接 塑 料 袋 包 好 ， 太 垃 圾 了 ， 感 觉 不 值 这 个 价
49,发货连个盒子都没有，直接塑料袋包好，太垃圾了，感觉不值这个价,49.0,盒子,没有,负面,包装,发 货 连 个 盒 子 都 没 有 ， 直 接 塑 料 袋 包 好 ， 太 垃 圾 了 ， 感 觉 不 值 这 个 价
49,发货连个盒子都没有，直接塑料袋包好，太垃圾了，感觉不值这个价,49.0,_,太垃圾了,负面,整体,发 货 连 个 盒 子 都 没 有 ， 直 接 塑 料 袋 包 好 ， 太 垃 圾 了 ， 感 觉 不 值 这 个 价
49,发货连个盒子都没有，直接塑料袋包好，太垃圾了，感觉不值这个价,49.0,_,不值,负面,整体,发 货 连 个 盒 子 都 没 有 ， 直 接 塑 料 袋 包 好 ， 太 垃 圾 了 ， 感 觉 不 值 这 个 价
50,有淡淡的香味，还不错，没用呢，以后追评！就是不提供发票，不方便呢,50.0,香味,淡淡的,正面,气味,有 淡 淡 的 香 味 ， 还 不 错 ， 没 用 呢 ， 以 后 追 评 ！ 就 是 不 提 供 发 票 ， 不 方 便 呢
50,有淡淡的香味，还不错，没用呢，以后追评！就是不提供发票，不方便呢,50.0,_,还不错,正面,整体,有 淡 淡 的 香 味 ， 还 不 错 ， 没 用 呢 ， 以 后 追 评 ！ 就 是 不 提 供 发 票 ， 不 方 便 呢
50,有淡淡的香味，还不错，没用呢，以后追评！就是不提供发票，不方便呢,50.0,发票,_,正面,包装,有 淡 淡 的 香 味 ， 还 不 错 ， 没 用 呢 ， 以 后 追 评 ！ 就 是 不 提 供 发 票 ， 不 方 便 呢
51,还送了两个替换的，不错,51.0,_,不错,正面,整体,还 送 了 两 个 替 换 的 ， 不 错
52,好用，显白不油腻,52.0,_,好用,正面,整体,好 用 ， 显 白 不 油 腻
52,好用，显白不油腻,52.0,_,显白,正面,功效,好 用 ， 显 白 不 油 腻
52,好用，显白不油腻,52.0,_,不油腻,正面,使用体验,好 用 ， 显 白 不 油 腻
53,第一次买，不知道好不好用，价格挺便宜的，还送了两个替换装，希望效果好,53.0,价格,挺便宜的,正面,价格,第 一 次 买 ， 不 知 道 好 不 好 用 ， 价 格 挺 便 宜 的 ， 还 送 了 两 个 替 换 装 ， 希 望 效 果 好
54,这款面膜我用着不错?这次赶上打折多存点货，**快递速度快昨晚下单中午就到了，给快递小哥点赞,54.0,_,不错,正面,整体,这 款 面 膜 我 用 着 不 错 ? 这 次 赶 上 打 折 多 存 点 货 ， * * 快 递 速 度 快 昨 晚 下 单 中 午 就 到 了 ， 给 快 递 小 哥 点 赞
54,这款面膜我用着不错?这次赶上打折多存点货，**快递速度快昨晚下单中午就到了，给快递小哥点赞,54.0,快递速度,快,正面,物流,这 款 面 膜 我 用 着 不 错 ? 这 次 赶 上 打 折 多 存 点 货 ， * * 快 递 速 度 快 昨 晚 下 单 中 午 就 到 了 ， 给 快 递 小 哥 点 赞
54,这款面膜我用着不错?这次赶上打折多存点货，**快递速度快昨晚下单中午就到了，给快递小哥点赞,54.0,快递小哥,点赞,正面,物流,这 款 面 膜 我 用 着 不 错 ? 这 次 赶 上 打 折 多 存 点 货 ， * * 快 递 速 度 快 昨 晚 下 单 中 午 就 到 了 ， 给 快 递 小 哥 点 赞
55,感觉很不错，**就是实惠，下次还会再来！,55.0,_,很不错,正面,整体,感 觉 很 不 错 ， * * 就 是 实 惠 ， 下 次 还 会 再 来 ！
55,感觉很不错，**就是实惠，下次还会再来！,55.0,_,实惠,正面,价格,感 觉 很 不 错 ， * * 就 是 实 惠 ， 下 次 还 会 再 来 ！
56,一直用的这个牌子很喜欢,56.0,_,很喜欢,正面,整体,一 直 用 的 这 个 牌 子 很 喜 欢
57,不怎么好用,57.0,_,不怎么好用,负面,整体,不 怎 么 好 用
58,大大的一瓶卸妆水，亲肤柔和，满意！！！,58.0,_,亲肤柔和,正面,使用体验,大 大 的 一 瓶 卸 妆 水 ， 亲 肤 柔 和 ， 满 意 ！ ！ ！
58,大大的一瓶卸妆水，亲肤柔和，满意！！！,58.0,_,满意,正面,整体,大 大 的 一 瓶 卸 妆 水 ， 亲 肤 柔 和 ， 满 意 ！ ！ ！
59,不知道该怎么说，我用着会辣眼睛疼,59.0,_,会,负面,使用体验,不 知 道 该 怎 么 说 ， 我 用 着 会 辣 眼 睛 疼
59,不知道该怎么说，我用着会辣眼睛疼,59.0,_,辣眼睛,负面,使用体验,不 知 道 该 怎 么 说 ， 我 用 着 会 辣 眼 睛 疼
59,不知道该怎么说，我用着会辣眼睛疼,59.0,_,疼,负面,使用体验,不 知 道 该 怎 么 说 ， 我 用 着 会 辣 眼 睛 疼
60,非常好，爱人说用过皮肤很滑，很嫩。,60.0,_,非常好,正面,整体,非 常 好 ， 爱 人 说 用 过 皮 肤 很 滑 ， 很 嫩 。
60,非常好，爱人说用过皮肤很滑，很嫩。,60.0,_,很滑,正面,使用体验,非 常 好 ， 爱 人 说 用 过 皮 肤 很 滑 ， 很 嫩 。
60,非常好，爱人说用过皮肤很滑，很嫩。,60.0,_,很嫩,正面,使用体验,非 常 好 ， 爱 人 说 用 过 皮 肤 很 滑 ， 很 嫩 。
61,好好好好，买买买，下次多买一些,61.0,_,好,正面,整体,好 好 好 好 ， 买 买 买 ， 下 次 多 买 一 些
61,好好好好，买买买，下次多买一些,61.0,_,好,正面,整体,好 好 好 好 ， 买 买 买 ， 下 次 多 买 一 些
61,好好好好，买买买，下次多买一些,61.0,_,好,正面,整体,好 好 好 好 ， 买 买 买 ， 下 次 多 买 一 些
62,总觉得擦脸上，然后一擦就蹭下来了，不好用，不是想象那样。可能我不适合这个。,62.0,_,不好用,负面,整体,总 觉 得 擦 脸 上 ， 然 后 一 擦 就 蹭 下 来 了 ， 不 好 用 ， 不 是 想 象 那 样 。 可 能 我 不 适 合 这 个 。
62,总觉得擦脸上，然后一擦就蹭下来了，不好用，不是想象那样。可能我不适合这个。,62.0,_,不适合,负面,整体,总 觉 得 擦 脸 上 ， 然 后 一 擦 就 蹭 下 来 了 ， 不 好 用 ， 不 是 想 象 那 样 。 可 能 我 不 适 合 这 个 。
63,关注好久了，赶上活动买的，特别合适,63.0,活动,_,正面,价格,关 注 好 久 了 ， 赶 上 活 动 买 的 ， 特 别 合 适
63,关注好久了，赶上活动买的，特别合适,63.0,_,特别合适,正面,整体,关 注 好 久 了 ， 赶 上 活 动 买 的 ， 特 别 合 适
64,很适合，不错啊,64.0,_,很适合,正面,整体,很 适 合 ， 不 错 啊
64,很适合，不错啊,64.0,_,不错,正面,整体,很 适 合 ， 不 错 啊
65,质量不错 送货师傅很给力 送了一个替换装,65.0,_,不错,正面,整体,质 量 不 错 送 货 师 傅 很 给 力 送 了 一 个 替 换 装
65,质量不错 送货师傅很给力 送了一个替换装,65.0,送货师傅,很给力,正面,物流,质 量 不 错 送 货 师 傅 很 给 力 送 了 一 个 替 换 装
66,送男票的，物流很快，听说还可以,66.0,物流,很快,正面,物流,送 男 票 的 ， 物 流 很 快 ， 听 说 还 可 以
66,送男票的，物流很快，听说还可以,66.0,_,还可以,正面,整体,送 男 票 的 ， 物 流 很 快 ， 听 说 还 可 以
67,这个洗面奶两年前我用过  这次又买了  别的没有这个好用,67.0,_,好用,正面,整体,这 个 洗 面 奶 两 年 前 我 用 过 这 次 又 买 了 别 的 没 有 这 个 好 用
68,物流非常快，刚收到面膜，看包装不错，期待好用！后续评价,68.0,物流,非常快,正面,物流,物 流 非 常 快 ， 刚 收 到 面 膜 ， 看 包 装 不 错 ， 期 待 好 用 ！ 后 续 评 价
68,物流非常快，刚收到面膜，看包装不错，期待好用！后续评价,68.0,包装,不错,正面,包装,物 流 非 常 快 ， 刚 收 到 面 膜 ， 看 包 装 不 错 ， 期 待 好 用 ！ 后 续 评 价
69,给老婆买的，还没用，快递是给力,69.0,快递,给力,正面,物流,给 老 婆 买 的 ， 还 没 用 ， 快 递 是 给 力
70,第一次网购化妆品，还可以。,70.0,_,还可以,正面,整体,第 一 次 网 购 化 妆 品 ， 还 可 以 。
71,给老妈买的，保湿滋润，挺好的,71.0,_,保湿,正面,功效,给 老 妈 买 的 ， 保 湿 滋 润 ， 挺 好 的
