id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
37,_, , ,挺满意的,7,11,整体,正面
37,服务,12,14,非常好,15,18,服务,正面
38,_, , ,用着舒服,0,4,使用体验,正面
38,补水效果,5,9,不错,10,12,功效,正面
38,价格,13,15,实惠,15,17,价格,正面
39,_, , ,好用,0,2,整体,正面
39,经济性,3,6,极低,6,8,价格,正面
40,_, , ,很好,14,16,整体,正面
40,_, , ,不紧崩,10,13,使用体验,正面
40,_, , ,很温和,0,3,使用体验,正面
41,_, , ,不错,0,2,整体,正面
41,_, , ,很好,3,5,整体,正面
41,_, , ,物超所值,6,10,整体,正面
42,供应链,14,16,很快,16,18,物流,正面
42,_, , ,还可以,21,24,整体,正面
43,速度,9,11,快,11,12,物流,正面
43,_, , ,高度评价,0,2,整体,正面
44,_, , ,小小,0,2,尺寸,负面
44,_, , ,不错,11,13,整体,正面
45,速度,4,6,很快,6,8,物流,正面
45,_, , ,不错,0,2,整体,正面
46,_, , ,不错,0,2,整体,正面
46,_, , ,还不错,17,20,整体,正面
46,_, , ,很喜欢,35,38,整体,正面
47,_, , ,恶评,13,15,整体,负面
47,_, , ,太坑了,18,21,整体,负面
48,甜,10,12,竟然,12,14,气味,正面
49,_, , ,还不错,2,5,整体,正面
49,_, , ,极好,17,19,整体,正面
50,_, , ,不错,2,4,整体,正面
50,大型活动,25,27,_, , ,价格,正面
50,_, , ,物美价廉,28,32,价格,正面
51,快递,0,2,挺快的,2,5,物流,正面
51,_, , ,没有过敏,14,18,使用体验,正面
52,生产成本,12,14,便宜,14,16,价格,正面
52,_, , ,不错,8,10,整体,正面
53,精华液量,2,6,非常足,6,9,成分,正面
53,保湿效果,10,14,棒棒哒,14,17,功效,正面
54,_, , ,很好用,0,3,整体,正面
55,低价,3,5,_, , ,价格,负面
55,_, , ,不开心,7,10,整体,负面
56,_, , ,好,13,14,整体,正面
57,泡沫,8,10,少,10,11,使用体验,负面
57,清洗,12,14,很干净,14,17,功效,正面
57,气味,18,20,优雅,20,22,气味,正面
57,定购,28,30,即时,30,32,物流,正面
58,物流,37,39,非常快,39,42,物流,正面
59,配送速度,18,22,很快,23,25,物流,正面
59,_, , ,挺好的,2,5,整体,正面
59,_, , ,五星好评,27,31,整体,正面
60,混搭,2,4,很好,4,6,包装,正面
61,_, , ,好用,0,2,整体,正面
62,_, , ,很不错,0,3,整体,正面
62,_, , ,不错,15,17,整体,正面
63,_, , ,超喜欢,0,3,整体,正面
63,_, , ,无比的高大上,6,12,整体,正面
64,_, , ,是正品,0,3,真伪,正面
65,_, , ,挺不错的,0,4,整体,正面
66,卸妆效果,3,7,非常好,7,10,功效,正面
66,_, , ,好用,0,2,整体,正面
67,_, , ,很好,0,2,整体,正面
68,_, , ,很满意,46,49,整体,正面
68,_, , ,挺好用,40,43,整体,正面
69,_, , ,非常不错,0,4,整体,正面
70,水分,6,8,充足,8,10,成分,正面
70,_, , ,很好用,2,5,整体,正面
71,_, , ,是正品,0,3,真伪,正面
72,活动,0,2,_, , ,价格,正面
72,原生地,13,15,还好,15,18,包装,正面
72,瓶口,21,23,没有密封口,23,28,包装,负面
73,_, , ,蛮好的,7,10,整体,正面
73,_, , ,比较补水,2,6,功效,正面
74,_, , ,超值,5,7,价格,正面
75,_, , ,非常好用,0,4,整体,正面
75,遮瑕效果,22,26,特别好,27,30,功效,正面
75,_, , ,不会掉粉,31,35,使用体验,正面
76,_, , ,很滑,3,5,使用体验,负面
76,_, , ,不太适合,9,13,整体,负面
77,交货,7,9,不久,15,17,物流,正面
77,送货速度,10,14,很快,15,17,物流,正面
77,快递小哥,18,22,很好,23,25,物流,正面
78,_, , ,很好用,11,14,整体,正面
79,发货,0,2,急剧,2,4,物流,正面
79,_, , ,不错,8,10,整体,正面
80,_, , ,很好,0,2,整体,正面
80,_, , ,很快,3,5,物流,正面
81,_, , ,不油腻,10,13,使用体验,正面
81,_, , ,好推开,14,17,使用体验,正面
81,_, , ,很自然,6,9,功效,正面
81,_, , ,很好用,2,5,整体,正面
82,_, , ,好评,28,30,整体,正面
82,_, , ,好极了,0,3,整体,正面
82,_, , ,喜欢,9,11,整体,正面
82,_, , ,没毛病,20,23,整体,正面
83,_, , ,非常喜欢,5,9,整体,正面
83,_, , ,非常满意,0,4,整体,正面
84,_, , ,超级满意,6,10,整体,正面
84,_, , ,好用,0,2,整体,正面
84,_, , ,便宜,3,5,价格,正面
85,_, , ,真心不错,3,7,整体,正面
85,零售业,21,23,超快的,25,28,物流,正面
85,_, , ,滑滑的,13,16,使用体验,正面
85,_, , ,非常舒服,16,20,使用体验,正面
86,_, , ,好用,7,9,整体,正面
86,_, , ,划算,9,11,价格,正面
87,性价比,18,21,很高,21,23,价格,正面
87,_, , ,不错的,9,12,整体,正面
88,_, , ,没有过敏,3,7,使用体验,正面
88,_, , ,挺好的,8,11,整体,正面
89,快递员,13,16,很敬业,10,13,物流,正面
89,_, , ,挺好的,6,9,整体,正面
90,_, , ,好用,0,2,整体,正面
91,_, , ,讨厌,7,9,整体,正面
92,_, , ,五星好评,0,4,整体,正面
92,快递,5,7,好评,11,13,包装,正面
92,服务,8,10,好评,11,13,服务,正面
93,发货,0,2,较快,2,5,物流,正面
93,_, , ,还可以,8,11,整体,正面
94,服务态度,3,7,好,7,8,服务,正面
94,_, , ,好用,0,2,整体,正面
95,_, , ,还挺好的,3,7,整体,正面
95,补水效果,10,14,很好,14,16,功效,正面
95,快递小哥态度,17,23,很好,14,16,物流,正面
96,快递公司,8,12,给力,14,16,物流,正面
96,快递小哥,33,37,点赞,37,39,物流,正面
97,补水效果,12,16,非常不错,16,20,功效,正面
98,快递,0,2,点个赞,2,5,物流,正面
98,快递,0,2,超级快,6,9,物流,正面
98,质量,10,12,杠杠滴,14,17,其他,正面
98,_, , ,很不错,32,35,整体,正面
98,_, , ,棒棒哒,36,39,整体,正面
99,快递速度,2,6,快,6,7,物流,正面
99,性价比,8,11,不错,11,13,价格,正面
100,价格,8,10,没有原来美好,10,16,价格,中性
100,_, , ,很划算,0,3,价格,正面
100,_, , ,一直棒棒,38,42,整体,正面
100,_, , ,实惠,44,46,价格,正面
101,_, , ,很不错,0,3,整体,正面
101,_, , ,很滋润,15,18,使用体验,正面
101,_, , ,很水润,21,24,使用体验,正面
101,价格,25,27,很实惠,27,30,价格,正面
101,到货速度,36,40,慢慢地,40,42,物流,正面
101,_, , ,很满意,43,46,整体,正面
102,_, , ,有点假白,3,7,功效,负面
103,_, , ,超级好用,14,18,整体,正面
103,_, , ,便宜,43,45,价格,正面
104,_, , ,挺好用的,7,11,整体,正面
105,活动,0,2,很划算,2,5,价格,正面
105,清洁,6,8,很彻底,8,11,功效,正面
105,泡沫,12,14,丰富,14,16,使用体验,正面
105,_, , ,好用,20,22,整体,正面
106,快递小哥,14,18,_, , ,物流,正面
107,_, , ,划算,10,12,价格,正面
108,_, , ,不错,8,10,整体,正面
108,_, , ,满意,11,13,整体,正面
109,_, , ,还不错,2,5,整体,正面
109,_, , ,喜欢,17,19,整体,正面
109,_, , ,颜色相近,12,16,功效,正面
110,快递,22,24,特别快,24,27,物流,正面
111,_, , ,不错,1,3,整体,正面
111,_, , ,有些粘腻,5,9,使用体验,负面
112,_, , ,还可以,0,3,整体,正面
113,_, , ,物美价廉,5,9,价格,正面
114,气味,0,2,很好闻,2,5,气味,正面
114,盒子,17,19,粉粉的,14,17,包装,正面
114,_, , ,不错,27,29,整体,正面
115,_, , ,好用,14,16,整体,正面
115,_, , ,更优惠,22,25,价格,正面
116,_, , ,还OK,16,19,整体,正面
117,_, , ,挺好用的,9,13,整体,正面
117,活动,17,19,_, , ,价格,正面
118,送货速度,0,4,便,4,6,物流,正面
118,_, , ,很好,41,43,整体,正面
119,_, , ,喜欢,0,2,整体,正面
119,_, , ,很划算,3,6,价格,正面
120,监护,16,17,好,10,12,功效,正面
120,保湿效果,12,16,好,16,17,功效,正面
120,_, , ,不干,18,20,使用体验,正面
121,_, , ,超级喜欢,13,17,整体,正面
122,_, , ,挺不错的,5,9,整体,正面
123,_, , ,很喜欢,0,3,整体,正面
123,整洁,9,11,太给力了,11,15,功效,正面
123,_, , ,很干净,18,21,使用体验,正面
124,_, , ,不好用,0,3,整体,负面
124,_, , ,骗人的,4,7,整体,负面
125,_, , ,不错,2,4,整体,正面
126,_, , ,可以,2,4,整体,正面
126,_, , ,很便宜,10,13,价格,正面
127,_, , ,不太好,20,22,整体,正面
128,_, , ,不错,11,13,整体,正面
128,_, , ,挺亮白的,6,10,功效,正面
128,_, , ,挺水润的,0,4,使用体验,正面
129,_, , ,还可以,0,3,尺寸,正面
130,_, , ,还可以,10,13,整体,正面
131,快递,0,2,太给力了,2,6,物流,正面
132,物流,40,42,慢慢地,42,44,物流,正面
133,活动,14,16,_, , ,价格,正面
133,_, , ,挺好的,0,3,整体,正面
133,_, , ,便宜,4,6,价格,正面
133,_, , ,实惠,6,8,价格,正面
134,颜色,0,2,很正,2,4,功效,正面
134,_, , ,好评,5,7,整体,正面
135,_, , ,很好,0,2,整体,正面
135,_, , ,实惠,4,6,价格,正面
135,_, , ,便宜,2,4,价格,正面
136,_, , ,很不错,0,3,整体,正面
137,金融服务,14,16,不久,16,18,物流,正面
138,_, , ,便宜,25,27,价格,正面
138,_, , ,很划算,32,35,价格,正面
138,_, , ,满分,47,49,整体,正面
139,遮黄效果,2,6,特别好,6,9,功效,正面
140,_, , ,微小,6,8,使用体验,正面
140,_, , ,服帖,8,10,使用体验,正面
140,_, , ,很不错,0,3,整体,正面
141,_, , ,货真价实,6,10,整体,正面
141,_, , ,好用,11,13,整体,正面
142,平均速度,1,3,好快,3,5,物流,正面
143,精华素,12,15,满满,10,12,成分,正面
143,提亮,23,25,不错,27,29,功效,正面
143,保湿,21,23,不错,27,29,功效,正面
144,物流,0,2,好快,2,4,物流,正面
144,_, , ,还不错,15,18,整体,正面
144,_, , ,很水润,19,22,使用体验,正面
145,_, , ,好用,34,36,整体,正面
145,_, , ,遮暇,43,45,功效,正面
145,_, , ,美白,38,40,功效,正面
146,_, , ,好评,25,27,整体,正面
146,_, , ,偏爱,22,24,整体,正面
146,_, , ,很好用,18,21,整体,正面
147,_, , ,很好,9,11,整体,正面
148,_, , ,一般,4,6,整体,负面
148,_, , ,很干,22,24,使用体验,负面
149,_, , ,不错,4,6,整体,正面
150,_, , ,清爽,0,2,使用体验,正面
150,_, , ,不错,8,10,功效,正面
150,色泽,11,13,唯美,13,15,使用体验,正面
150,气味,16,18,甜美,18,20,气味,正面
150,恶臭,16,18,平滑,3,5,使用体验,正面
151,_, , ,香香的,0,3,气味,正面
152,_, , ,很好用,4,7,整体,正面
152,_, , ,不油腻,7,10,使用体验,正面
153,_, , ,不紧绷,17,20,使用体验,正面
154,_, , ,挺好用,4,7,整体,正面
155,_, , ,还可以,0,3,整体,正面
156,快递,5,7,很给力,7,10,物流,正面
157,客服回复,18,22,太晚,22,24,服务,负面
158,包装,0,2,简陋,2,4,包装,负面
158,说明书,7,10,没有,5,7,包装,负面
158,_, , ,正品,11,13,真伪,负面
159,味道,0,2,脱俗,2,4,气味,正面
159,_, , ,挺自然的,7,11,功效,正面
160,_, , ,挺喜欢的,0,4,整体,正面
160,_, , ,很好用,10,13,整体,正面
161,_, , ,很补水,5,8,功效,正面
161,_, , ,很好,2,4,整体,正面
162,_, , ,有点干,24,27,使用体验,负面
162,_, , ,哑光质感,38,42,使用体验,正面
162,_, , ,蛮好,43,45,整体,正面
163,包装,6,8,很好,9,11,包装,正面
163,包装,6,8,没有破损,12,16,包装,正面
163,快递人员服务态度,26,34,很好,9,11,物流,正面
163,_, , ,满意,38,40,整体,正面
164,遮瑕,5,7,不适合,7,10,功效,负面
164,隔离效果,13,17,挺好的,18,21,功效,正面
164,保湿度,22,25,一般般,26,29,功效,中性
164,_, , ,很好吸收,0,4,使用体验,正面
165,_, , ,很好用,2,5,整体,正面
166,_, , ,太赞了,10,13,整体,正面
167,_, , ,不错,0,2,整体,正面
168,杂货店,2,4,超级快,4,7,物流,正面
168,_, , ,是正品,12,15,真伪,正面
169,_, , ,喜欢,0,2,整体,正面
169,_, , ,很润,10,12,使用体验,正面
169,_, , ,很好吸收,14,18,使用体验,正面
170,套装,0,2,很好,2,4,包装,正面
171,_, , ,不错,2,4,整体,正面
172,_, , ,很棒,0,2,整体,正面
173,_, , ,好,2,3,整体,正面
173,_, , ,不干燥,7,10,使用体验,正面
173,_, , ,五星好评,13,17,整体,正面
174,_, , ,有点痒,10,13,使用体验,负面
174,_, , ,卸不干净,2,6,功效,负面
175,防晒效果,0,4,_, , ,功效,中性
176,_, , ,蛮好用,17,20,整体,正面
177,_, , ,比较清爽,8,12,使用体验,正面
177,_, , ,喜好,13,15,整体,正面
178,颜色,0,2,好看,2,4,其他,正面
178,服务态度,5,9,较好,9,11,服务,正面
178,物流,12,14,快速,14,16,物流,正面
179,_, , ,很棒,22,24,整体,正面
180,_, , ,不错,3,5,整体,正面
181,_, , ,很好用,7,10,整体,正面
181,隔离效果,11,15,不错,15,17,功效,正面
182,活动,12,14,_, , ,价格,正面
182,_, , ,蛮不错的,0,4,整体,正面
183,_, , ,很不错,0,3,整体,正面
183,_, , ,清澈,4,6,使用体验,正面
184,_, , ,很自然,20,23,功效,正面
184,_, , ,很贴,27,29,使用体验,正面
184,_, , ,有光泽,34,37,功效,正面
184,_, , ,极好,38,40,整体,正面
185,新包装样式,0,5,很喜欢,6,9,包装,正面
186,零售,10,13,很给力,7,9,物流,正面
186,_, , ,很划算,3,6,价格,正面
187,保湿,12,14,真的好,14,17,功效,正面
187,_, , ,非常不错,0,4,整体,正面
188,服务态度,2,6,极佳,6,8,服务,正面
188,物流,16,18,很快,19,21,物流,正面
188,_, , ,很不错,11,14,整体,正面
189,_, , ,喜欢喜欢,0,4,整体,正面
189,_, , ,特别补水,5,9,功效,正面
189,_, , ,真的很耐斯,10,15,整体,正面
190,_, , ,不错,6,8,整体,正面
190,物流,14,16,超级给力,16,20,物流,正面
191,_, , ,不太好,2,4,整体,正面
192,新包装,6,9,特别喜欢,0,4,包装,正面
192,_, , ,很方便,11,14,其他,正面
192,_, , ,不紧绷,34,37,使用体验,正面
192,_, , ,很保湿,38,41,功效,正面
193,_, , ,不油腻,0,3,整体,正面
193,卸妆,4,6,很干净,7,10,功效,正面
193,_, , ,很划算,19,22,价格,正面
194,_, , ,好用,5,7,整体,正面
195,_, , ,很好用,2,5,整体,正面
195,_, , ,很补水,14,17,功效,正面
195,效果,18,20,不错,20,22,功效,正面
196,_, , ,不错,0,2,整体,正面
197,_, , ,评价,8,10,整体,正面
197,_, , ,还可以,4,7,整体,正面
198,_, , ,好用,0,2,整体,正面
198,_, , ,实惠,2,4,价格,正面
199,_, , ,过敏了,7,10,使用体验,正面
200,_, , ,好评,21,23,整体,正面
200,_, , ,很好,5,7,整体,正面
200,_, , ,白皙,8,10,功效,正面
200,_, , ,水嫩,10,12,使用体验,正面
200,_, , ,没有干粉,16,20,使用体验,正面
201,_, , ,一点也不紧绷,16,22,使用体验,正面
201,_, , ,超值,23,25,价格,正面
202,_, , ,很好用,25,28,整体,正面
202,_, , ,清爽,29,31,使用体验,正面
202,_, , ,不刺激,31,34,使用体验,正面
203,_, , ,非常好用,0,4,整体,正面
203,_, , ,特别补水,7,11,功效,正面
203,_, , ,很不错,17,20,整体,正面
204,混搭,0,2,很高大尚,2,6,包装,正面
205,卸妆效果,9,13,很好,13,15,功效,正面
205,_, , ,很干净,16,19,功效,正面
205,_, , ,不刺激,22,25,使用体验,正面
205,_, , ,挺舒服的,28,32,使用体验,正面
205,_, , ,滑滑的,37,40,使用体验,正面
205,_, , ,很划算,41,44,价格,正面
206,_, , ,好用,14,16,整体,正面
207,_, , ,很好用,0,3,整体,正面
207,_, , ,喜欢,4,6,整体,正面
208,成分,9,11,很安全,11,14,成分,正面
208,_, , ,差强人意,24,26,整体,正面
209,保温效果,8,12,挺好的,12,15,功效,正面
209,_, , ,没有出现过敏,23,29,使用体验,正面
210,_, , ,不差,22,24,整体,正面
211,_, , ,不错,13,15,整体,正面
212,活动,9,11,很划算,12,15,价格,正面
212,_, , ,很好用,20,23,整体,正面
213,风味,5,7,很差,7,9,气味,正面
213,_, , ,物美价廉,0,4,价格,正面
214,物流,0,2,快,2,3,物流,正面
214,精华液,10,13,很多,13,15,成分,正面
214,_, , ,嫩嫩的,19,22,使用体验,正面
214,_, , ,不错,23,25,整体,正面
215,_, , ,有点白,2,5,使用体验,中性
216,香味,6,8,淡淡的,3,6,气味,正面
216,_, , ,超好用,0,3,整体,正面
217,包装,13,15,太简陋,15,18,包装,负面
218,_, , ,不喜欢,0,3,整体,负面
219,_, , ,猪油,0,1,使用体验,负面
220,_, , ,太假了,6,9,真伪,负面
220,_, , ,是假货,31,34,真伪,负面
221,_, , ,量大,0,2,其他,正面
221,_, , ,便宜,2,4,价格,正面
222,_, , ,感觉不错,6,10,整体,正面
222,_, , ,很水嫩,12,15,使用体验,正面
223,_, , ,不错,0,2,整体,正面
223,_, , ,很好,5,7,整体,正面
223,速度,8,10,很快,10,12,物流,正面
224,_, , ,好用,0,2,整体,正面
224,赠品,10,12,_, , ,价格,正面
224,_, , ,不错,13,15,整体,正面
225,_, , ,挺好的,7,10,整体,正面
225,_, , ,水水嫩嫩的,13,18,使用体验,正面
226,_, , ,好快,0,2,物流,正面
227,_, , ,很实惠,0,3,价格,正面
227,精华液,4,7,特别多,7,10,成分,正面
227,_, , ,一般,17,19,整体,正面
227,_, , ,不是很好吸收,22,28,使用体验,正面
228,_, , ,相当大,7,9,尺寸,负面
228,赠品,30,32,没有,33,35,价格,负面
229,物流,0,2,快速,3,4,物流,正面
229,_, , ,实惠,5,7,价格,正面
230,包装,19,21,挺不错的,23,27,包装,正面
231,活动,1,3,_, , ,价格,正面
232,_, , ,瞩目,0,2,整体,正面
233,_, , ,还可以,0,3,整体,正面
233,_, , ,挺补水的,7,11,功效,正面
234,价格,21,23,便宜,29,31,价格,正面
235,保质期,23,26,近期,12,14,新鲜度,负面
235,客服态度,30,34,敷衍了事,34,38,服务,负面
236,_, , ,满意,18,20,整体,正面
237,_, , ,不油腻,14,17,使用体验,正面
238,_, , ,好用,4,6,整体,正面
238,_, , ,不贵,6,8,价格,正面
238,_, , ,挺补水的,24,28,功效,正面
239,_, , ,很温和,7,10,使用体验,正面
239,礼盒包装,30,34,没有,28,30,包装,负面
240,_, , ,非常好,0,3,整体,正面
240,_, , ,很满意,8,11,整体,正面
240,_, , ,好评,16,18,整体,正面
241,保湿效果,7,11,不错,11,13,功效,正面
242,_, , ,挺好,0,2,整体,正面
243,_, , ,不错,0,2,整体,正面
244,售价,0,2,很优惠,2,5,价格,正面
244,_, , ,特别好,8,11,整体,正面
245,_, , ,好用,0,2,整体,正面
245,_, , ,经年累月,3,5,使用体验,正面
245,_, , ,喜欢,6,8,整体,正面
246,_, , ,很好用,26,29,整体,正面
247,_, , ,很喜欢,21,24,整体,正面
247,_, , ,比较适合,16,20,整体,正面
248,价格,5,7,合算,7,9,价格,正面
248,送货速度,10,14,马上,14,16,物流,正面
249,_, , ,挺好的,2,5,整体,正面
249,_, , ,很喜欢,8,11,整体,正面
250,_, , ,优异,4,6,整体,正面
251,_, , ,不刺激,17,20,使用体验,正面
251,_, , ,很好,14,16,整体,正面
251,_, , ,很实惠,28,31,价格,正面
251,_, , ,满意,32,34,整体,正面
252,物流,25,27,给力,28,30,物流,正面
252,_, , ,给力,28,30,整体,正面
253,湿气,0,2,不是很足,2,6,成分,负面
254,_, , ,还可以,0,3,整体,正面
254,_, , ,不错,12,14,整体,正面
255,_, , ,很好闻,3,6,气味,正面
256,服务态度,16,20,不错,20,22,服务,正面
256,_, , ,不错,2,4,整体,正面
257,_, , ,好用,0,2,整体,正面
257,_, , ,温和的,3,6,使用体验,正面
257,_, , ,最喜欢,14,16,整体,正面
257,_, , ,不紧绷,10,13,使用体验,正面
258,包装,6,8,好差,8,10,包装,负面
259,_, , ,挺好,7,9,整体,正面
259,_, , ,很光滑,17,20,使用体验,正面
259,补水效果,21,25,很不错,25,28,功效,正面
260,成品,5,7,坏了,7,9,包装,负面
261,_, , ,很自然,9,12,功效,正面
261,_, , ,挺好用,0,3,整体,正面
261,_, , ,很滋润,4,7,使用体验,正面
262,_, , ,不好用,0,3,整体,负面
262,_, , ,不显白,8,11,功效,负面
263,速度,0,2,快,7,8,物流,正面
263,_, , ,方便,13,15,使用体验,正面
264,_, , ,很好用,0,3,整体,正面
264,_, , ,还不错,20,23,整体,正面
264,_, , ,挺适合,24,27,整体,正面
265,_, , ,是真东西,0,4,真伪,正面
266,气味,12,14,淡淡的,14,17,气味,正面
266,_, , ,很滋润,18,21,使用体验,正面
267,粉扑设计,0,4,非常棒,5,8,包装,正面
267,盒子颜值,9,13,极高,13,15,包装,正面
268,快递,15,17,真的快,17,20,物流,正面
268,物流速度,6,10,_, , ,物流,正面
269,_, , ,香香的,0,3,气味,正面
269,_, , ,很润,4,6,使用体验,正面
269,_, , ,挺好,7,9,整体,正面
270,_, , ,不是很好用,0,5,整体,负面
270,_, , ,不是很干净,8,13,功效,负面
271,_, , ,肤色好好,10,14,使用体验,正面
271,_, , ,快,17,18,物流,正面
271,服务,19,21,好,21,22,服务,正面
271,_, , ,好用,6,8,整体,正面
272,价格,10,12,便宜,13,15,价格,正面
272,_, , ,正品,34,36,真伪,正面
273,_, , ,还可以,0,3,整体,正面
274,_, , ,很好,15,17,整体,正面
275,_, , ,提好的,0,3,整体,正面
276,_, , ,挺好,0,2,整体,正面
276,泡沫,3,5,丰富,5,7,使用体验,正面
276,_, , ,很干净,10,13,使用体验,正面
277,洁面,10,12,挺好的,12,15,功效,正面
278,_, , ,还不错,0,3,整体,正面
279,_, , ,很多泡泡,0,4,使用体验,正面
279,_, , ,好用,5,7,整体,正面
280,_, , ,很好,6,8,整体,正面
281,_, , ,真的很不错,14,19,整体,正面
281,_, , ,很好用,22,25,整体,正面
281,_, , ,很适合,29,32,整体,正面
282,_, , ,非常好用,6,10,整体,正面
282,遮瑕效果,11,15,很好,15,17,功效,正面
283,_, , ,很好用,12,15,整体,正面
284,_, , ,很好用,0,3,整体,正面
284,_, , ,温和不刺激,4,9,使用体验,正面
284,清洁力,10,13,不错,14,16,功效,正面
284,_, , ,青睐,17,19,整体,正面
285,_, , ,很好用,7,10,整体,正面
285,卸妆效果,11,15,很好,15,17,功效,正面
285,_, , ,不紧绷,21,24,使用体验,正面
286,_, , ,挺好闻的,0,4,气味,正面
286,_, , ,不假白,5,8,功效,正面
286,_, , ,亮肤,8,10,功效,正面
286,_, , ,滋润,10,12,使用体验,正面
287,_, , ,很好用,0,3,整体,正面
287,_, , ,很喜欢,3,6,整体,正面
287,_, , ,挺好的,9,12,整体,正面
287,_, , ,很贴皮肤,13,17,使用体验,正面
288,价格,0,2,便宜,2,4,价格,正面
288,活动,4,6,给力,6,8,价格,正面
288,_, , ,很差,17,19,整体,正面
289,_, , ,好用,0,2,整体,正面
289,_, , ,不浮粉,3,6,使用体验,正面
289,_, , ,不错,14,16,整体,正面
290,_, , ,挺补水的,3,7,功效,正面
290,_, , ,大块,0,2,使用体验,正面
290,_, , ,贵了,11,13,价格,负面
291,_, , ,服帖,3,5,使用体验,正面
291,_, , ,自然,0,2,使用体验,正面
292,甜味,14,16,很好闻,16,19,气味,正面
293,_, , ,蛮好用的,2,6,整体,正面
293,_, , ,轻薄,7,9,使用体验,正面
293,_, , ,不油腻,10,13,使用体验,正面
293,_, , ,蛮自然的,18,22,功效,正面
294,_, , ,不错哦,0,3,整体,正面
294,_, , ,特别便宜,4,8,价格,正面
294,_, , ,很湿润,24,27,使用体验,正面
295,赠的东西,0,4,挺多的,4,7,价格,正面
296,_, , ,还可以,0,3,整体,正面
296,遮瑕效果,4,8,挺好,8,10,功效,正面
296,_, , ,不保湿,13,16,功效,正面
296,_, , ,好干,21,23,使用体验,正面
297,_, , ,没以前好用,7,12,整体,负面
298,_, , ,良好,11,13,整体,正面
298,_, , ,无异常,16,19,整体,正面
298,_, , ,羡慕,20,22,整体,正面
299,_, , ,好用,7,9,整体,正面
